Code,Weight,Halt
A002760,0.000056,0
A001260,0.000056,0
A010960,0.000056,0
A005870,0.000056,0
A024900,0.000056,0
A002600,0.000055,0
A264900,0.000055,0
A005750,0.000055,0
A214420,0.000055,0
A007980,0.000055,0
A000910,0.000054,0
A031820,0.000054,0
A014710,0.000054,0
A001290,0.000054,0
A350520,0.000054,0
A004270,0.000053,0
A003720,0.000053,0
A009200,0.000053,0
A118000,0.000053,0
A001550,0.000053,0
A075180,0.000053,0
A005800,0.000053,0
A004410,0.000053,0
A016090,0.000052,0
A017040,0.000052,0
A006370,0.000052,0
A143210,0.000052,0
A380440,0.000052,0
A133820,0.000052,0
A035000,0.000051,0
A023810,0.000051,0
A119650,0.000051,0
A009320,0.00005,0
A002720,0.00005,0
A013870,0.00005,0
A011090,0.00005,0
A004770,0.000049,0
A129260,0.000049,0
A002410,0.000049,0
A004840,0.000049,0
A006090,0.000048,0
A004910,0.000048,0
A227840,0.000048,0
A111110,0.000048,0
A078000,0.000048,0
A357250,0.000048,0
A001140,0.000047,0
A000500,0.000047,0
A015590,0.000047,0
A058850,0.000047,0
A013700,0.000047,0
A012160,0.000046,0
A009180,0.000046,0
A013520,0.000046,0
A007590,0.000046,0
A001080,0.000046,0
A163560,0.000046,0
A021050,0.000046,0
A004450,0.000046,0
A020760,0.000046,0
A010600,0.000046,0
A100220,0.000045,0
A011330,0.000045,0
A009440,0.000045,0
A011390,0.000045,0
A002200,0.000045,0
A049800,0.000045,0
A012170,0.000044,0
A155660,0.000044,0
A001560,0.000044,0
A002220,0.000044,0
A090080,0.000044,0
A338100,0.000044,0
A000650,0.000044,0
A010640,0.000044,0
A008600,0.000044,0
A008420,0.000043,0
A027970,0.000043,0
A006200,0.000043,0
A006980,0.000042,0
A026940,0.000042,0
A378850,0.000041,0
A002140,0.00004,0
A027740,0.00004,0
A058730,0.00004,0
A010100,0.00004,0
A012320,0.00004,0
A014440,0.00004,0
A085310,0.00004,0
A001020,0.000039,0
A021820,0.000039,1
A058860,0.000039,0
A001380,0.000039,0
A000590,0.000039,0
A092780,0.000039,0
A004870,0.000039,0
A002070,0.000038,0
A005360,0.000038,0
A145270,0.000038,0
A051630,0.000038,0
A023960,0.000038,0
A000040,0.000038,0
A041650,0.000038,0
A003010,0.000037,0
A015020,0.000037,0
A003080,0.000037,0
A014990,0.000037,0
A093240,0.000036,0
A019180,0.000036,0
A025620,0.000036,0
A002920,0.000036,0
A023350,0.000036,0
A012280,0.000035,0
A109070,0.000035,1
A000850,0.000035,0
A011690,0.000035,1
A071090,0.000034,0
A009310,0.000034,0
A090370,0.000034,0
A009770,0.000033,0
A014130,0.000033,0
A002870,0.000033,0
A023150,0.000033,0
A000950,0.000033,0
A069730,0.000032,0
A123700,0.000032,0
A011420,0.000032,0
A044380,0.000032,0
A008870,0.000031,0
A001620,0.000031,0
A072130,0.000031,0
A002690,0.00003,0
A006880,0.00003,0
A017370,0.00003,0
A002820,0.000029,0
A006570,0.000028,0
A025560,0.000028,0
A010770,0.000027,0
A084670,0.000027,0
A005110,0.000026,0
A010660,0.000026,0
A025530,0.000026,0
A007120,0.000026,0
A069640,0.000025,0
A007610,0.000025,0
A010400,0.000025,0
A025890,0.000025,0
A002420,0.000024,0
A009140,0.000024,0
A004100,0.000024,0
A005820,0.000024,0
A155900,0.000023,0
A003680,0.000023,0
A024070,0.000023,0
A013000,0.000023,0
A014910,0.000023,0
A030720,0.000022,0
A000760,0.000022,0
